,date,title,rating,genres,id
236,2001-06-12,AFI's 100 Years... 100 Thrills: America's Most Heart-Pounding Movies,7.3,"('documentary',)",tt0288408
237,1999-11-24,The Directors,7.3,"('documentary', 'biography')",tt0224861
238,2000-07-03,The RDA,7.0,"('talk-show',)",tt0283215
239,2001-03-19,Other Voices: Creating 'The Terminator',7.3,"('documentary', 'sci-fi')",tt0365601
240,2001-03-11,2001 Winter Special Olympics,6.1,"('sport',)",tt0480875
241,2001-02-01,60 Jahre Karl Dall,,(),tt1203990
242,2001-07-24,The 6th Day: The Future Is Coming,6.2,"('documentary', 'short')",tt3309504
243,,Bodybuilders,8.0,"('documentary',)",tt0375617
244,1996-04-06,Ôsama no buranchi,,"('talk-show',)",tt1453928
245,2000-08-29,The Making of 'Terminator 2 3D',6.3,"('documentary', 'sci-fi', 'short')",tt0368004
246,2000-05-30,Conan Unchained: The Making of 'Conan',7.5,"('documentary',)",tt0430950
247,2000-05-09,2000 Blockbuster Entertainment Awards,4.6,"('documentary', 'family')",tt0343328
248,2000-04-18,The Devil's Playground: The Visual Effects of 'End of Days',,"('documentary',)",tt5256604
249,2000-04-18,End of Days: The Beginning,4.6,"('documentary', 'short')",tt0365161
250,2000-03-26,The 72nd Annual Academy Awards,6.4,"('family',)",tt0266222
251,1995-09-04,WCW Monday Nitro,8.0,"('action', 'sport')",tt0185130
252,1994-05-02,Exclusiv - Das Star-Magazin,3.2,"('news', 'talk-show')",tt0493184
253,1993-11-24,Intimate Portrait,7.1,"('documentary', 'biography')",tt0896232
254,1998-08-22,The Howard Stern Radio Show,7.0,"('talk-show',)",tt0165319
255,1999-04-27,WWF SmackDown!,7.3,"('action', 'sport')",tt0227972
256,,Total Request Live,3.9,"('music',)",tt0167735
257,1993-09-13,Late Night with Conan O'Brien,8.1,"('comedy', 'music', 'talk-show')",tt0106052
258,1999-11-11,Arnold Schwarzenegger: Hollywood Hero,6.1,"('documentary',)",tt0214490
259,1998-05-24,Mondän!,,"('documentary',)",tt1191978
260,1998-11-24,Hollywood Salutes Arnold Schwarzenegger: An American Cinematheque Tribute,4.8,(),tt0451473
261,1998-10-12,Junket Whore,4.3,"('documentary',)",tt0311376
262,1998-10-04,Bravo Profiles: The Entertainment Business,6.1,"('documentary',)",tt0773260
263,1998-06-08,The Magic Hour,3.6,"('music', 'talk-show')",tt0159177
264,1998-04-15,To Life! America Celebrates Israel's 50th,5.5,(),tt0326287
265,1998-03-23,The 70th Annual Academy Awards,6.7,"('news',)",tt0284808
266,1998-03-10,1998 Blockbuster Entertainment Awards,4.7,(),tt1715312
267,1997-11-24,Arnold Schwarzenegger - Blitzlichter eines amerikanischen Traums,,"('biography',)",tt1427185
268,,Directors: James Cameron,6.7,"('documentary', 'biography')",tt0322031
269,,Stand Tall,6.6,"('documentary',)",tt0120195
270,1996-04-21,Mundo VIP,4.0,"('news',)",tt0483221
271,1997-02-12,Die goldene Kamera 1997,,(),tt5295954
272,,Crook & Chase,6.3,"('music', 'talk-show')",tt0224855
273,2001-02-23,A Century of Science Fiction,6.0,"('documentary',)",tt0167820
274,1994-09-05,Studio Gabriel,5.3,"('comedy',)",tt0416426
275,1981-02-14,"Wetten, dass..?",5.8,"('comedy', 'game-show', 'music')",tt0081961
276,1992-05-11,Explosiv - Das Magazin,3.5,"('documentary', 'news', 'talk-show')",tt0429346
277,1972-05-05,Episode dated 5 May 1972,,"('comedy', 'family', 'game-show')",tt1128126
278,1996-09-09,2nd Annual Soul Train Lady of Soul Awards,,"('music',)",tt8857870
279,1996-08-09,Very Important Pennis,8.0,"('comedy',)",tt0246354
280,1995-11-24,The Crypt Keeper Presents: A Spine-Tingling Look at Tales from the Crypt,,"('documentary', 'short', 'comedy', 'horror')",tt5119782
281,1990-11-24,Tohuwabohu,7.6,"('comedy',)",tt0114686
282,1995-12-14,Sinatra: 80 Years My Way,7.8,"('documentary', 'music')",tt0114453
283,1995-09-07,The Annual 1995 ShoWest Awards,5.4,(),tt2392421
284,1995-04-21,The First 100 Years: A Celebration of American Movies,7.9,"('documentary',)",tt0113068
285,1995-03-27,The 67th Annual Academy Awards,6.7,"('family',)",tt0268875
286,1986-09-13,Siskel & Ebert & the Movies,8.6,"('talk-show',)",tt0090523
287,1995-01-21,The 52nd Annual Golden Globe Awards,6.7,"('music',)",tt0482447
288,,A Century of Cinema,5.3,"('documentary',)",tt0109390
289,1993-01-17,Moviewatch,6.9,"('documentary',)",tt0200355
290,1993-08-30,Late Show with David Letterman,6.8,"('comedy', 'music', 'talk-show')",tt0106053
291,1994-01-07,Lista Top 40,6.5,"('music',)",tt1445553
292,1994-07-24,The Making of 'True Lies',7.1,"('documentary', 'family')",tt0899196
293,1989-01-03,The Arsenio Hall Show,6.4,"('comedy', 'family', 'music', 'talk-show')",tt0096537
294,1993-11-24,Behind the Scenes: Last Action Hero,7.9,"('documentary', 'short')",tt6469114
295,1993-11-24,The Road to Hollywood,,"('documentary',)",tt0934561
296,,T2: More Than Meets the Eye,6.7,"('action', 'short', 'documentary', 'sci-fi')",tt0204667
297,1990-01-24,Entertainment UK,,"('news',)",tt1472478
298,1993-12-02,Hollywood Women,6.2,"('documentary',)",tt0382438
299,1993-08-27,The Last Party,6.1,"('documentary', 'history')",tt0107372
300,1993-07-13,1993 MTV Movie Awards,3.8,(),tt0275879
301,1988-08-01,Good Day New York,4.9,"('news',)",tt0448961
302,1993-06-14,John & Leeza from Hollywood,,(),tt0106038
303,1984-06-09,Aspel & Company,6.7,"('talk-show',)",tt0189240
304,1993-05-09,Kathie Lee Gifford's Celebration of Motherhood,,"('family',)",tt0499043
305,1983-10-17,Sally Jessy Raphael,4.3,"('talk-show',)",tt0088598
306,1987-11-30,CBS This Morning,5.0,"('news', 'talk-show')",tt0355070
307,2001-03-19,The Making of 'The Terminator': A Retrospective,6.5,"('documentary', 'short')",tt0365473
308,1992-11-14,Nickelodeon Kids' Choice Awards '92,7.0,(),tt1677633
309,1992-09-11,Feed,5.7,"('documentary',)",tt0104244
310,1992-07-24,Jocs de nit,,"('talk-show',)",tt0423674
311,1992-06-10,1992 MTV Movie Awards,4.4,"('family',)",tt0275878
312,,Gran premio internazionale della TV,6.6,"('comedy', 'music', 'talk-show')",tt1263775
313,1962-10-01,The Tonight Show Starring Johnny Carson,8.4,"('comedy', 'talk-show')",tt0055708
314,1992-03-17,The 18th Annual People's Choice Awards,6.9,(),tt1300154
315,1992-03-01,Muhammad Ali's 50th Birthday Celebration,7.2,(),tt0358603
316,1992-01-18,The 49th Annual Golden Globe Awards,6.8,"('news',)",tt1800383
317,1975-10-11,Saturday Night Live,8.1,"('comedy', 'music')",tt0072562
318,1982-11-24,Wogan,6.4,"('talk-show',)",tt0083504
319,,Showbiz Today,4.7,"('news',)",tt0185822
320,1991-09-15,Acompáñame,,"('music',)",tt6651256
321,1991-09-09,The Making of 'Terminator 2: Judgment Day',7.3,"('documentary', 'short')",tt0271049
322,1991-09-03,Victory & Valor: Special Olympics World Games,5.0,"('documentary', 'sport')",tt0443688
323,1982-02-01,Late Night with David Letterman,7.4,"('comedy', 'music', 'talk-show')",tt0083441
324,,Inside Edition,3.9,"('documentary', 'news')",tt0166442
325,1991-02-24,Naked Hollywood,6.6,"('history',)",tt0297595
326,1990-11-24,Mary Hart Presents: Power in the Public Eye,,"('talk-show',)",tt3097374
327,,The Making of 'Total Recall',6.5,"('documentary', 'short')",tt0271050
328,1990-12-10,The Making of 'Kindergarten Cop',,"('documentary', 'short')",tt2703334
329,1990-09-03,Stars 90,,"('music',)",tt3490772
330,1990-08-10,The Word,6.4,"('talk-show',)",tt0169515
331,,Arnold Schwarzenegger Bodybuilding Classic,8.7,"('documentary',)",tt0261540
332,,Sacrée soirée,4.1,"('family', 'musical')",tt0375439
333,1989-01-19,Presidential Inaugural Gala,,"('music',)",tt2040474
